signal_DN,var_single_DN2
0.000000000000000000e+00,8.951118277009632029e-01
1.500000000000000000e+00,1.051497928394324655e+00
3.500000000000000000e+00,9.313272087137998145e-01
3.500000000000000000e+00,9.851356586409698579e-01
4.500000000000000000e+00,1.174390522155794425e+00
6.500000000000000000e+00,1.110118683647736804e+00
8.000000000000000000e+00,1.079003110187291448e+00
1.050000000000000000e+01,1.255252212234689635e+00
1.000000000000000000e+01,1.213666665676883749e+00
1.300000000000000000e+01,1.139579358899830419e+00
1.550000000000000000e+01,1.457497921000685981e+00
1.600000000000000000e+01,1.295202845253780932e+00
1.650000000000000000e+01,1.412270862641032299e+00
1.900000000000000000e+01,1.607083551419038692e+00
1.900000000000000000e+01,1.685522880772377663e+00
2.000000000000000000e+01,1.577256685764894861e+00
2.050000000000000000e+01,1.594325105733294334e+00
2.350000000000000000e+01,1.633948438531680258e+00
2.500000000000000000e+01,1.717307731460812503e+00
2.700000000000000000e+01,1.709683184146402191e+00
2.700000000000000000e+01,1.782432654329566768e+00
3.000000000000000000e+01,1.886238788928640275e+00
3.000000000000000000e+01,1.811672818341922175e+00
3.200000000000000000e+01,2.038154545121681593e+00
3.300000000000000000e+01,1.907050123514298701e+00
3.500000000000000000e+01,2.040920537392227896e+00
3.500000000000000000e+01,2.121249124227905458e+00
3.700000000000000000e+01,2.113676397241114557e+00
3.900000000000000000e+01,2.114938501017148198e+00
4.100000000000000000e+01,2.213552648433487757e+00
4.200000000000000000e+01,2.202681277851790131e+00
4.300000000000000000e+01,2.319238849716193762e+00
4.300000000000000000e+01,2.359049398356759308e+00
4.600000000000000000e+01,2.349265577702826846e+00
4.750000000000000000e+01,2.505610150181313944e+00
4.850000000000000000e+01,2.465556624947333297e+00
5.050000000000000000e+01,2.479101580890499701e+00
5.100000000000000000e+01,2.740610709053851846e+00
5.300000000000000000e+01,2.528452337493538593e+00
5.500000000000000000e+01,2.535943872916898378e+00
5.600000000000000000e+01,2.603046850519036060e+00
5.750000000000000000e+01,2.822606114617921769e+00
5.850000000000000000e+01,2.866747836445584952e+00
6.050000000000000000e+01,2.789437984468963627e+00
6.250000000000000000e+01,2.837414893284051054e+00
6.300000000000000000e+01,3.013428133427543010e+00
6.550000000000000000e+01,2.935588316467786285e+00
6.600000000000000000e+01,2.991391862222044562e+00
6.750000000000000000e+01,3.026112472842466428e+00
6.850000000000000000e+01,3.017287479961471508e+00
7.000000000000000000e+01,3.167314741062160266e+00
7.200000000000000000e+01,3.069097996728492816e+00
7.400000000000000000e+01,3.177273369394423952e+00
7.450000000000000000e+01,3.281982116282888384e+00
7.650000000000000000e+01,3.213763195464751199e+00
7.800000000000000000e+01,3.362826011145939820e+00
0.000000000000000000e+00,1.114590844787605617e+00
2.500000000000000000e+00,9.675066617990678575e-01
4.000000000000000000e+00,9.618926749748750726e-01
3.500000000000000000e+00,1.210964077689623775e+00
4.500000000000000000e+00,1.552182927816033509e+00
7.500000000000000000e+00,1.104191111604722719e+00
9.000000000000000000e+00,1.091497243805298778e+00
1.100000000000000000e+01,1.538924758250126201e+00
1.250000000000000000e+01,1.236781515740396520e+00
1.350000000000000000e+01,1.425909202929182884e+00
1.550000000000000000e+01,1.256642721318609324e+00
1.650000000000000000e+01,1.303950924196528138e+00
1.650000000000000000e+01,1.566401678044513801e+00
2.000000000000000000e+01,1.394152629278828215e+00
2.000000000000000000e+01,1.595102506109969065e+00
2.100000000000000000e+01,1.634268039958575613e+00
2.250000000000000000e+01,1.680289240314613908e+00
2.550000000000000000e+01,1.865302874670895728e+00
2.750000000000000000e+01,1.542892386137985072e+00
2.800000000000000000e+01,1.583743674679806812e+00
2.950000000000000000e+01,1.668738909627392131e+00
3.150000000000000000e+01,1.569449597652518236e+00
3.150000000000000000e+01,1.715225718400015253e+00
3.450000000000000000e+01,1.750979152956252838e+00
3.500000000000000000e+01,1.809079533688688457e+00
3.600000000000000000e+01,2.018474910223293950e+00
3.750000000000000000e+01,2.036877475304899043e+00
3.900000000000000000e+01,1.840615217448176244e+00
4.000000000000000000e+01,2.173134370900543733e+00
4.200000000000000000e+01,2.197148769766605003e+00
4.300000000000000000e+01,2.012150983840137908e+00
4.450000000000000000e+01,2.021266073239872618e+00
4.600000000000000000e+01,2.099559690854699845e+00
4.800000000000000000e+01,2.336281892725907028e+00
4.850000000000000000e+01,2.187463267630010755e+00
5.050000000000000000e+01,2.349829254788966981e+00
5.250000000000000000e+01,2.246804077038613734e+00
5.200000000000000000e+01,2.557888769445176624e+00
5.550000000000000000e+01,2.317935632719227979e+00
5.600000000000000000e+01,2.312951600898210724e+00
5.750000000000000000e+01,2.266525845967175989e+00
5.850000000000000000e+01,2.356338353409424435e+00
6.000000000000000000e+01,2.484476118120985788e+00
6.150000000000000000e+01,2.512406119502403445e+00
6.350000000000000000e+01,2.548872876075282790e+00
6.450000000000000000e+01,2.384477264706150734e+00
6.750000000000000000e+01,2.905706297043055386e+00
6.850000000000000000e+01,2.562939731027087831e+00
6.950000000000000000e+01,2.537816605651692203e+00
7.100000000000000000e+01,2.525722032706058773e+00
7.300000000000000000e+01,2.617744087644843010e+00
7.450000000000000000e+01,2.838021940668510990e+00
7.550000000000000000e+01,2.808846986388821243e+00
7.750000000000000000e+01,2.788154467027622818e+00
