signal_DN,var_single_DN2
-5.000000000000000000e-01,6.460774247907087320e-01
5.000000000000000000e-01,6.804824742682779037e-01
6.000000000000000000e+00,8.917813685623534603e-01
9.000000000000000000e+00,9.322500397958731755e-01
1.250000000000000000e+01,1.100010306277153349e+00
1.200000000000000000e+01,1.112969075989786782e+00
1.900000000000000000e+01,1.174360714328501532e+00
1.650000000000000000e+01,1.240624685473396882e+00
2.100000000000000000e+01,1.262266306871989263e+00
2.100000000000000000e+01,1.304442565872719451e+00
2.550000000000000000e+01,1.430266464292095918e+00
2.450000000000000000e+01,1.478057446626807270e+00
2.700000000000000000e+01,1.526038974538383108e+00
3.050000000000000000e+01,1.582398774826641707e+00
3.100000000000000000e+01,1.613257149640893173e+00
3.400000000000000000e+01,1.668902683519161156e+00
3.600000000000000000e+01,1.724725644179899264e+00
3.850000000000000000e+01,1.754138349161174171e+00
4.000000000000000000e+01,1.813434254905696763e+00
4.000000000000000000e+01,1.849484617455737112e+00
4.250000000000000000e+01,1.884712889279968051e+00
4.550000000000000000e+01,2.045818476164677602e+00
4.800000000000000000e+01,2.074355804791906621e+00
4.950000000000000000e+01,2.127162538934061153e+00
5.000000000000000000e+01,2.164074937244593322e+00
5.450000000000000000e+01,2.203709274001033336e+00
5.250000000000000000e+01,2.274012921756206840e+00
5.600000000000000000e+01,2.296535617754334346e+00
5.900000000000000000e+01,2.374145276343370803e+00
5.900000000000000000e+01,2.385144571615716469e+00
6.500000000000000000e+01,2.437060735630923070e+00
6.250000000000000000e+01,2.481749382391188252e+00
6.650000000000000000e+01,2.515275281180838540e+00
6.950000000000000000e+01,2.576672055099850756e+00
7.150000000000000000e+01,2.723833929932041542e+00
7.150000000000000000e+01,2.763470122297318810e+00
7.600000000000000000e+01,2.800556887572735576e+00
7.850000000000000000e+01,2.850477632548176210e+00
7.950000000000000000e+01,2.888230433330142510e+00
8.550000000000000000e+01,2.936772333851454420e+00
8.500000000000000000e+01,2.994719009895891126e+00
8.550000000000000000e+01,3.045394145344921366e+00
8.850000000000000000e+01,3.088734074491355397e+00
8.950000000000000000e+01,3.124316565449891225e+00
9.350000000000000000e+01,3.159619557873396101e+00
9.400000000000000000e+01,3.217296954437355083e+00
9.650000000000000000e+01,3.242131962150395008e+00
1.005000000000000000e+02,3.321163643156513690e+00
1.020000000000000000e+02,3.349229768818103636e+00
1.030000000000000000e+02,3.361205047189675721e+00
1.065000000000000000e+02,3.402111879939227812e+00
1.060000000000000000e+02,3.575282345667956108e+00
1.105000000000000000e+02,3.631303075292148019e+00
1.140000000000000000e+02,3.669259882500293557e+00
1.155000000000000000e+02,3.706334976350688759e+00
1.165000000000000000e+02,3.721024406355790237e+00
1.175000000000000000e+02,3.776364536314733122e+00
1.190000000000000000e+02,3.819060511533459490e+00
1.220000000000000000e+02,3.871096604514996375e+00
1.240000000000000000e+02,3.893925974292009595e+00
1.275000000000000000e+02,3.954987693971730778e+00
1.265000000000000000e+02,3.974604948213554589e+00
1.320000000000000000e+02,4.019040501787565667e+00
1.345000000000000000e+02,4.072343861152717182e+00
1.350000000000000000e+02,4.096749420105644468e+00
1.360000000000000000e+02,4.165067260608102728e+00
1.395000000000000000e+02,4.213300308012385642e+00
1.410000000000000000e+02,4.236906284841960968e+00
1.415000000000000000e+02,4.280013466165987879e+00
1.425000000000000000e+02,4.310193243000051133e+00
1.445000000000000000e+02,4.355498994888647779e+00
1.470000000000000000e+02,4.555221767524292531e+00
1.475000000000000000e+02,4.607629559943945630e+00
1.515000000000000000e+02,4.625313572234261983e+00
1.505000000000000000e+02,4.687809071344726242e+00
1.535000000000000000e+02,4.715018712261250577e+00
1.580000000000000000e+02,4.733747118606087767e+00
1.610000000000000000e+02,4.801623808751495304e+00
1.615000000000000000e+02,4.819425244277168119e+00
1.645000000000000000e+02,4.877832411562510018e+00
1.650000000000000000e+02,4.900008491234485675e+00
1.690000000000000000e+02,4.998464465158369840e+00
1.700000000000000000e+02,4.979242002759384000e+00
1.700000000000000000e+02,5.048318225038253004e+00
1.700000000000000000e+02,5.096191930892228328e+00
1.735000000000000000e+02,5.126904582553589051e+00
1.765000000000000000e+02,5.196153653845096088e+00
1.785000000000000000e+02,5.242007538518390852e+00
1.795000000000000000e+02,5.263948273628701990e+00
1.825000000000000000e+02,5.269500853628520609e+00
1.830000000000000000e+02,5.334570513243926726e+00
1.880000000000000000e+02,5.362001578277936886e+00
1.875000000000000000e+02,5.401838900699046597e+00
1.905000000000000000e+02,5.597950998934585698e+00
1.930000000000000000e+02,5.594116855291283663e+00
1.930000000000000000e+02,5.635723457109182988e+00
1.975000000000000000e+02,5.700373887655107552e+00
1.970000000000000000e+02,5.715651732402029062e+00
2.000000000000000000e+02,5.793420170917993772e+00
2.030000000000000000e+02,5.808954708386641741e+00
2.055000000000000000e+02,5.885387587050991520e+00
2.095000000000000000e+02,5.934176304004316727e+00
2.090000000000000000e+02,5.965673114434613566e+00
2.120000000000000000e+02,6.025045558670762524e+00
2.140000000000000000e+02,6.041371340626181308e+00
2.130000000000000000e+02,6.066791043538835027e+00
2.165000000000000000e+02,6.150462895079659376e+00
2.205000000000000000e+02,6.178666826277061652e+00
2.215000000000000000e+02,6.241074586247894906e+00
2.265000000000000000e+02,6.246359065789852671e+00
2.250000000000000000e+02,6.314942273413207907e+00
2.290000000000000000e+02,6.344568036324372606e+00
2.300000000000000000e+02,6.382582725101146437e+00
